"id","text","section_code","section_name","source_version","source_scope","kind","tone","rarity","char_count","skill","mental","money","ai"
"30","代码写完了，精神没了","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"31","今天的加班，是昨天的技术债","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"32","领导说辛苦了，排期没变","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"33","加班不是热爱，是缓冲区","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"34","你在救火，别人说你扛压强","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"35","睡前还在想那条报错","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"36","白天开会，晚上编码","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"37","你以为是奋斗，身体说不是","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"38","下班了，但脑内线程还在跑","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"39","项目冲刺期，生活回收站","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"40","加班记录会消失，疲惫不会","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"41","线上一响，今晚别睡","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"42","代码刚合，事故就来","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"43","用户先发现，日志后补齐","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"44","先别上线，先祈祷","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","8","4","-14","0","0"
"45","监控红了，群也红了","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"46","报警声一响，心率先上来","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"47","事故不是出问题，是系统来收账","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","14","4","-14","0","0"
"48","影响范围待确认","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","7","4","-14","0","0"
"49","根因未明，群消息已满","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"50","临时修复上线，临时变永久","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"51","复盘开得很深，修复很浅","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"52","一次事故，三周阴影","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"53","回滚按钮就是最后的体面","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"54","热修刚发，新问题又来","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"55","线上问题总挑你吃饭时来","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"56","P0 不看场合","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","7","4","-14","0","0"
"57","凌晨两点的报警最真实","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"58","没有监控的稳定，都是错觉","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"59","生产环境从不讲道理","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"60","事故群里，没人发表情","C","线上事故与复盘","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"61","代码能跑，债没还","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"62","技术债会自己长大","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"63","今天不重构，明天更难","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"64","老系统没死，只是一直在加班","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"65","每个快捷方案都有利息","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"66","这段逻辑，祖传下来的","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"67","你不是在开发，你在续命","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"68","重构很贵，不重构更贵","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"69","屎山不会倒，只会扩建","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"70","这不是架构，是考古现场","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"71","别问谁写的，先问谁敢改","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"72","新同事读完代码，沉默了","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"73","看懂这段代码，算工伤","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"74","不是不想拆，是一拆就炸","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"75","系统的速度，在给历史买单","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"76","债不写在需求里，利息写在排期里","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"77","你改一行，测试哭一片","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"78","祖传工具类又显灵了","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"79","先 patch，再许愿","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"80","技术债，不是明天的事，是今天的税","D","技术债与重构","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"81","AI 写得快，返工更快","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","11","2","-7","0","2"
"82","你在带 AI，还是被 AI 带","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","15","2","-7","0","2"
"83","AI 帮你起草，人类负责背锅","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","14","2","-7","0","2"
"84","会用 AI 的人，正在换赛道超车","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","16","2","-7","0","2"
"85","AI 不累，你会累","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","9","2","-7","0","2"
"86","Prompt 写得漂亮，结果还是错","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","17","2","-7","0","0"
"87","AI 又交了一份看似能跑的作业","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","15","2","-7","0","2"
"88","今天的效率，明天的债务","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"89","AI 让你更快，也让坑更密","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","13","2","-7","0","2"
"90","复制得很快，理解得很慢","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"91","不会验证的人，会更快出错","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"92","AI 生成十分钟，人工排错一整晚","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","16","2","-7","0","2"
"93","你不是 coder，你成了 reviewer","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","22","2","-8","0","0"
"94","别让自己变成 AI 清洁工","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","13","2","-7","0","2"
"95","AI 会写代码，不会替你负责","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","14","2","-7","0","2"
"96","现在值钱的不是手速，是判断","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"97","上下文不给够，AI 就开始瞎猜","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","15","2","-7","0","2"
"98","AI 不是同事，是放大器","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","12","2","-7","0","2"
"99","它放大你的能力，也放大你的混乱","E","AI 时代焦虑","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"100","你的工程意识，决定 AI 是助手还是灾难","E","AI 时代焦虑","2026-06-17","work-core","event","wry","uncommon","20","2","-7","0","2"
"101","面试八股，背完就忘","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"102","你会写，还是会讲","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"103","线上最严重事故，讲得出来吗","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"104","稳定性比简历更难背","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"105","面试官开始问你 AI 工作流了","F","面试与跳槽","2026-06-17","work-core","event","wry","uncommon","15","2","-7","0","2"
"106","这题做过，但当场想不起来","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"107","算法会了，系统设计又忘了","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"108","你投的是岗位，不是运气","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"109","HR 说薪资可谈，表情不太像","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"110","Offer 快到了，HC 没了","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"111","题刷了很多，心更虚了","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"112","面试像双向拷打","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","7","2","-8","0","0"
"113","你以为在展示能力，对方在找风险","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"114","这家公司看重稳定，你看重下班","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"115","跳槽是换环境，不一定换命","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"116","你回答得不错，只是不够便宜","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"117","一轮又一轮，像分布式失败重试","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"118","讲项目时最怕被追问细节","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"119","自我介绍一结束，心率就上来了","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"120","面试不是考试，是信号博弈","F","面试与跳槽","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"121","绩效一到，背锅先到","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"122","差绩效总要有人扛","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","8","4","-14","0","0"
"123","KPI 还没到，锅先来了","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"124","会写代码的人很多，会兜底的人很少","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","16","4","-14","0","0"
"125","结果不好时，过程没人记得","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"126","出了问题，先找责任人","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"127","你修好了问题，也修不好印象","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"128","绩效表里没有凌晨两点","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"129","你的价值，常被写成可替代","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"130","做了很多，汇报不够像没做","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"131","不是所有辛苦都能被量化","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"132","你在交付价值，对方在看表格","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"133","业务赢了，工程组加班","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"134","事故之后，流程变长了","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"135","组织的惯性，比 bug 难修","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","14","4","-14","0","0"
"136","功劳常被共享，责任常被定向","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"137","你在补洞，别人写周报","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"138","绩效从不是纯技术问题","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"139","稳定运行三个月，不如炸一次显眼","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","15","4","-14","0","0"
"140","真正难的是长期不出事","G","绩效、背锅与组织现实","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"141","会议很多，产出很少","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"142","会议纪要比代码长","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"143","你不是在开会，你是在被切碎","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"144","开会一小时，进入状态两小时","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"145","消息一响，专注下线","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"146","白天同步，晚上补工","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"147","异步没做好，所有人都在线等","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"148","这不是沟通，是多人打断","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"149","今天写了很多字，没写几行代码","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"150","需求会开，结论没有","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"151","评审会开完，问题还在","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"152","讨论很热闹，owner 很模糊","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"153","上下文切换一次，精神掉一截","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"154","真正贵的不是会议，是会后重启大脑","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"155","频道很多，信息没有归宿","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"156","你回了十个消息，主线没动","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"157","协作不是同时在线，是目标对齐","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"158","工程师最怕的不是难，是被反复打断","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"159","今日最佳产出：终于静下来了十分钟","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"160","一天结束，待办比早上更多","H","会议、协作与上下文切换","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"161","本地能跑，线上会翻脸","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"162","又到了只在我机器上正常的时刻","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"163","不是 bug，先是版本在作妖","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"164","两个人改一行，Git 先崩","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","wry","uncommon","13","2","-7","0","0"
"165","`<<<<<<` 不是代码，是协作分叉","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","19","2","-8","0","0"
"166","你删我改，Git 只好拉警报","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","wry","uncommon","14","2","-7","0","0"
"167","权限不足，不是你不够努力","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"168","管理员没来，窗口先别指望","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"169","跨域拦截：浏览器比你更谨慎","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"170","C 盘又红了，故事也红了","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"171","电脑很慢，先别骂 CPU","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"172","配置文件永远差最后一项","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"173","昨天能跑，今天环境变了","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"174","端口没冲突，你的命先冲突了","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"175","依赖刚升级，熟悉感没了","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"176","容器里正常，宿主机不认","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"177","不是没权限，是你不在白名单","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"178","线上和本地，像两种宇宙","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"179","merge 完了，冲突还在脑子里","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"180","真正的跨平台，是跨越你的耐心","I","环境、权限与 Git 冲突","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"181","文档缺席，靠猜交付","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"182","这套系统，全靠口口相传","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"183","没有文档的项目，离玄学不远了","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"184","交接文档还没写，人先走了","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"185","你在读代码，像在破译遗书","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"186","会的人离职了，知识也离职了","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"187","新人第一天，先学会问谁","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"188","文档不是负担，是回忆录","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"189","今天省下的文档，明天会变工单","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"190","代码注释太少，群消息太多","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"191","你以为自己记得，其实只是还没忘","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"192","接手老项目，先接受世界观","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"193","README 只负责把你骗进来","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","wry","uncommon","15","2","-7","0","0"
"194","项目结构很清晰，前提是你写的","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"195","沉淀没做，重复劳动会做","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"196","每次排障，都是在补文档","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"197","真正的工程能力，包含让别人接得住","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"198","文档晚写一天，记忆少一半","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"199","项目不是没人维护，是没人敢认领","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","15","2","-8","0","0"
"200","接手代码前，先深呼吸","J","文档、知识沉淀与新人接手","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"201","35 岁不是终点，是提醒","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"202","你不是不会，只是太累","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"203","招聘里没写年龄，空气里写了","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"204","不是你变差了，是赛道变快了","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"205","裁员名单总像随机数","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"206","你活下来了，工位没变轻松","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"207","年纪大了，报错看得更准了","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"208","经验值终于值钱了一点","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","10","4","-14","0","0"
"209","会写代码的人多，会扛系统的人少","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","15","4","-14","0","0"
"210","AI 来了，老兵也许反而更稳","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","wry","uncommon","14","2","-7","0","2"
"211","过去拼手速，现在拼判断","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"212","你怕的不是年龄，是替代感","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","12","4","-14","0","0"
"213","简历没空窗，心态有裂缝","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"214","裁员之后，留下来的人更沉默","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"215","不是不想卷，是身体先拒绝了","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"216","老程序员的优势，不在手快，在少踩坑","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","17","4","-14","0","0"
"217","市场不奖励苦劳，只奖励稀缺","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","13","4","-14","0","0"
"218","岗位在缩，责任在涨","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","9","4","-14","0","0"
"219","你以为自己老了，系统觉得你终于懂了","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","17","4","-14","0","0"
"220","越往后走，越值钱的是稳","K","35+、裁员与职业焦虑","2026-06-17","work-core","event","sharp","rare","11","4","-14","0","0"
"221","今天的代码，很有明天的味道","L","冷幽默与工程师自嘲","2026-06-17","work-core","joke","wry","common","13","0","3","0","0"
