factor,condition,short_term_effect,long_term_effect,game_rule_suggestion,affected_stats,source_name,source_url,confidence
长期高压工作(>=55h/周),连续3个月每周>=55小时,睡眠障碍、肌肉骨骼疼痛、血糖波动,《柳叶刀》多队列研究:14种健康问题风险升高;心血管死亡风险升高,when weekly_hours>55 for 90 days: burnout+=4; health-=2; mental-=2; sleep_quality-=3,burnout;health;mental;sleep,Ervasti et al. 2021 Lancet Regional Health Europe + WHO/ILO,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00148-4/fulltext,high
长期高压工作(>=55h/周),长期>=55h/周持续多年,持续疲劳累积、慢性应激,中风风险升高35%、缺血性心脏病死亡风险升高17%,when weekly_hours>55 for 365 days: cardio+=4; lifespan-=1.5,cardio;lifespan,WHO/ILO Joint Estimates 2021 Environment International,https://pubmed.ncbi.nlm.nih.gov/32505014/,high
短视频/游戏过度(每天>3小时),连续30天日均>3小时短视频使用,执行功能减弱、注意力分散、入睡延迟,抑郁与焦虑得分显著升高;耐受性增加形成行为成瘾,when screen_time>3h/day for 30 days: focus-=3; sleep_quality-=2; mental+=2,focus;sleep_quality;mental,《心理健康蓝皮书2024》中科院心理所 + APA 2025 Psychological Bulletin,https://datanews.caixin.com/2025-11-24/102386160.html,high
长期刷社交媒体(高频被动使用),日均社交媒体使用>2小时持续>=6个月,被动久坐、认知负荷增加、情绪低落,注意力下降、情绪调节困难;被动久坐升高痴呆风险约7%/h,when social_media_time>2h/day for 180 days: focus-=2; mental+=1; long_term_cognition-=3,focus;mental;long_term_cognition,American Journal of Preventive Medicine 被动久坐 + APA 2025,https://datanews.caixin.com/2025-11-24/102386160.html,medium
饮食不规律(不吃早餐),每周>=3天不吃早餐,上午能量与专注力下降,心血管病风险升高22%、全因死亡风险升高25%;胆结石、胃炎风险升高,when breakfast_skipped>=3 per week: cardio+=2; metabolism-=1,cardio;metabolism,Chen et al. 2020 Clinical Nutrition Meta分析 (7项队列22万人),https://www.sciencedirect.com/science/article/abs/pii/S0261561420300406,high
饮食不规律(暴饮暴食),连续30天单日摄入>推荐量50%以上,餐后困倦、体重增加、内脏脂肪堆积,糖尿病、心血管事件与癌症死亡风险显著升高,when daily_intake>recommended*1.5 for 30 days: weight+=2; cardio+=1; metabolism-=2,weight;cardio;metabolism,GBD 2017 Diet Collaborators The Lancet + 中国居民膳食指南2022,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)30041-8/fulltext,high
过度摄入咖啡因(每天>4杯),每天咖啡因>400mg(约4杯美式),心率加快、焦虑与入睡困难,长期与骨质疏松、消化道刺激相关;孕妇>200mg增加不良妊娠结局,when caffeine_cups>4 per day: sleep_quality-=2; mental+=1; heart_rate+=10,sleep_quality;mental;heart_rate,EFSA 2015 caffeine safety opinion + FDA,https://www.efsa.europa.eu/en/efsajournal/pub/4102,high
长期外卖/高糖高油,每周>5餐外卖/高糖高油饮食,餐后血糖血脂波动、能量过剩,BMI升高、胰岛素抵抗加速;糖尿病与心血管病风险升高,when takeout_meals>5 per week: weight+=1; cardio+=1; metabolism-=2,weight;cardio;metabolism,中国居民膳食指南2022 + GBD 2017 Diet The Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)30041-8/fulltext,high
缺乏自然光照,每天户外光照<30分钟持续>=3个月,维生素D合成不足、情绪低落,季节性情感障碍(SAD)风险升高;昼夜节律紊乱影响睡眠质量,when outdoor_light<30min/day for 90 days: vitamin_d-=1; mental+=1; sleep_quality-=1,vitamin_d;mental;sleep_quality,Stewart et al. 2014 Medical Hypotheses + UGA News,https://news.uga.edu/vitamin-d-deficiency-linked-to-mental-health/,high
失眠/睡眠障碍,连续3个月入睡困难>30分钟或夜间易醒,日间疲劳、情绪易怒、认知功能下降,中年失眠<6h使痴呆风险增加30%;全因死亡风险升高,when insomnia_onset>30min for 90 days: mental-=2; focus-=3; lifespan-=1.0,mental;focus;lifespan,Sabia et al. 2021 Nature Communications 25年随访 + 中国睡眠研究报告2024,https://www.nature.com/articles/s41467-021-22396-w,high
"冥想练习(MBSR),坚持8周(约27min/天)",灰质密度增加：左海马、后扣带回、颞顶联合区、小脑显著增厚,"8周MBSR正念减压训练后,左海马灰质浓度显著增加(P<0.05);后扣带回、颞顶联合区、小脑亦显著增厚",持续8周可增加海马体积(与学习/记忆/情绪调节相关);长期练习者前额叶皮层增厚、杏仁核活动下降,when mindfulness_days>=56 and avg_daily_min>=20: mental+=2; focus+=1; immunity+=1,mental;focus;immunity,Holzel et al. 2011 Psychiatry Research: Neuroimaging,https://pubmed.ncbi.nlm.nih.gov/21071182/,high
"自然环境接触,每周≥2次公园/绿色空间≥30分钟",唾液皮质醇下降、注意力恢复、焦虑降低,"单次30-50分钟城市公园/林地散步后,唾液皮质醇较室内组显著降低(约-12%~-15%);主观压力下降",长期每周≥2次绿色空间暴露者抑郁/焦虑风险下降约20%;血压/心血管事件率较无暴露组降低,when weekly_nature_visits>=2 and avg_outdoor>=30min: stress-=1; mental+=1; cardio+=1,stress;mental;cardio,Park et al. 2010 Journal of Environmental Psychology (公开学术线索),https://www.sciencedirect.com/science/article/abs/pii/S0272494409001154,medium
"感恩日记,每周≥3次/每次列3件好事",主观幸福感提升、积极情感增加、消极情感减少,"每周3次记录感恩事项的学生,10周后积极情感较对照组提升约5%-10%;乐观/生活满意度评分显著提高",长期(6个月以上)感恩日记实践者抑郁症状自评降低约20%;睡眠质量改善、就医次数下降,when gratitude_journal>=3 per week for 60 days: mental+=2; focus+=1; sleep_quality+=1,mental;focus;sleep_quality,Emmons & McCullough 2003 Journal of Personality and Social Psychology,https://psycnet.apa.org/record/2003-99993-002,high
"站立办公(坐站交替),每日站立≥2小时",久坐时间减少66min/天、上背颈痛下降54%、情绪状态改善,Take-a-Stand Project:4周坐站交替干预使每日久坐时间减少约66分钟(-224%);上背/颈部疼痛下降54%;情绪状态明显改善,"坚持坐站交替6个月以上,部分研究显示腰围/HbA1c轻度下降;但对血压/血脂等心血管指标长期效应有限",when sit_stand_hours>=2 per workday for 60 days: back_pain-=2; cardio+=1; mental+=1,back_pain;cardio;mental,Pronk et al. 2012 Preventing Chronic Disease (Take-a-Stand Project),https://pubmed.ncbi.nlm.nih.gov/23057991/,high
"咖啡因摄入时间,睡前6小时以内仍摄入咖啡因400mg",入睡潜伏期延长、总睡眠时长减少约1小时以上,400mg咖啡因在睡前0/3/6小时摄入均显著干扰睡眠(p<0.05);睡前6小时摄入仍使总睡眠时长减少约1小时以上,"下午/傍晚规律摄入咖啡因人群,失眠/睡眠维持困难发生率较无咖啡因组增加约35%-50%;晚间摄入建议上限≤200mg",when caffeine_after_18 and caffeine_dose>=400mg: sleep_quality-=2; mental+=1,sleep_quality;mental,Drake et al. 2013 Journal of Clinical Sleep Medicine,https://pubmed.ncbi.nlm.nih.gov/24235903/,high
"冷暴露/冷适应,每日15-20°C 冷刺激≥10天",棕色脂肪(BAT)活性增加、非战栗产热上升,10天冷适应(每日15-16°C/6小时)使可检测BAT体积显著增加;非战栗产热(NST)显著增加;受试者主观冷感与颤抖减少57%/72%/61%,"长期冷暴露个体静息代谢率较常人高约5%-15%;BAT激活与体重/体脂控制相关,但效应因人而异",when cold_exposure_days>=10 with avg_temp<=18C: metabolism+=2; cardio+=1; immunity+=1,metabolism;cardio;immunity,van der Lans et al. 2013 Journal of Clinical Investigation,https://pubmed.ncbi.nlm.nih.gov/23867626/,high
