ending_id,title,category,success_level,required_conditions,avoid_conditions,ending_text,value_message,real_world_reference
rural_return,回到小城,balance,good,cash>=600000;mental>=55;health>=55;relationship>=65;age>=33,burnout>=80;health<=30,"38 岁那年你回了老家。不是被裁,是你和妻子一起决定的——孩子要在爷爷奶奶身边长大,你们俩不想再把房贷当 K 墙。每天早上八点出门,下午六点到家,晚上陪孩子在广场跳舞。月薪只有以前的一半,但你们的存款没缩水,父母脸上的皱纹舒展了一些。你偶尔还会去 V2EX 看看老同事的吐槽,会心一笑,觉得那是另一个世界。你没躺平,你只是把'陪着家人'这件事,放进了日程表。","回老家不丢人,把家照顾好才是真 KPI。",2024 年程序员返乡潮:身家千万北漂程序员回重庆躺平、85 后外企程序员回河南老家陪父母、华为 30 岁程序员回县城考公务员;招聘平台 2025 数据显示三四线 IT 岗位需求增长 23%
half_retire,提前半退,balance,good,cash>=1500000;health>=55;mental>=55;age>=40,burnout>=80;health<=30,"45 岁,你没到法定退休年龄,但你已经不'上班'了。你一年接 3-4 个咨询单,其余时间在云南住三个月、在杭州住三个月、回家住半年。你不是躺平,你是把'想要的生活'提前过起来。朋友劝你'再干两年',你笑笑说:'我已经挣到想要的数,剩下的时间,我想用来写那些没人给我 KPI 的东西。'你开始写一个想了十年的开源项目,不为变现,只为过程。你 50 岁那年,这个项目被某个大厂内部用了,作者栏写的是你的名字,和你 28 岁时一样。","退休不是终点,是换一条路再走。",日本 60+ 半退文化(岛根县'半农半 X'模式);欧洲 FIRE 实践;国内一线城市 40+ 程序员'提前躺平'案例(张运来 41 岁住车里、王小川等)
ordinary_engineer,普通工程师,normal,normal,tech>=40;health>=40;mental>=40;cash>=300000;age>=28,burnout>=80;health<=25,"你没进大厂,没拿过 SP,没在 LeetCode 周赛里打过名次——offer 信箱里只有一家不知名的小公司发来的邮件。普通业务、普通加班、普通房贷,普通到没有故事可讲。50 岁那年某天,工位上没人帮你,也没人害你,日子就这么过下来了。关掉电脑那一刻,你觉得没什么惊天动地,但你家里的小孩刚考上大学,父母还健康,妻子没抱怨——这就够了。","普通地平稳地过,本身就是难得的人生。",中国数百万中小公司程序员的真实日常;二三线城市 IT 从业者;外包行业工程师长期生存路径
burnout_exit,燃尽离场,normal,mixed,burnout>=75;health<=40;mental<=35;age>=30,burnout<70,"34 岁的你终于决定走了。不是为了更好的 offer,是为了换一种活法。医生说你的焦虑量表爆表,你看着那张体检报告笑了一下——原来你一直在拿命换钱,而那点钱,你父母一场病就能花光。辞职那天下着小雨,你没回头,直接坐上了回家的高铁。三个月后你在一家小公司做技术支持,收入只有以前的 40%,但你没再失眠过。你同事听说你的故事后说:'我也想走。'你说:'想走就走,机会不等人。'","退一步不是认输,是给自己第二次呼吸的机会。",2024 中国程序员健康白皮书:约 38% 程序员有不同程度职业倦怠;2025 年 32 岁程序员高广辉猝死事件引发行业对'燃尽'的反思;多家大厂推'强制休假'制度
health_break,健康亮红灯,normal,mixed,health<=30;age>=30,health>30,"37 岁那年一个普通的周三,你在公司卫生间突然眩晕,120 把你送到医院。医生看着你的指标皱眉:'你再晚半小时,后果不堪设想。'ICU 躺了一周,你没看过一行代码——忽然发现这一周过得比你过去一年都轻。出院那天你没回公司,直接去了趟菜市场,挑了几样孩子爱吃的菜,回家做了一顿饭。你的同事不知道,你保住了命,代价是丢了那份工。但你的孩子知道,爸爸今天回家吃饭了。","能用健康换来的东西,大部分不值那个价。",2024-2026 互联网行业多起猝死案例:32 岁程序员高广辉周末加班家中猝死、35 岁程序员连续 47 天加班凌晨倒在会议室、28 岁大厂程序员工位猝死(钉钉记录日均 14.6 小时)、27 岁程序员连续加班 ICU 抢救 7 天
tech_mentor,薪火相传,hidden,great,tech>=75;reputation>=60;relationship>=60;mental>=55;age>=35,burnout>=80;health<=30,"50 岁那年,公司给你开了一个'终身成就奖'——你带出来的 CTO、CTO 带出来的工程师、工程师带出来的产品经理,加起来 100 多人。每年春天你都收到十几条消息:'X 老师,谢谢你当年那句话。'你 70 岁那年,你带过的一个实习生成了某个开源项目的 maintainer,他在贡献者列表里写:'给那位让我相信写代码是值得的 X 老师。'","培养人,本身就是写代码的延续。",Linus Torvalds 长期带 Linux 内核维护者;Python 之父 Guido 退休后仍指导社区;国内大厂内训体系、少数派 Tron 计划、freeCodeCamp 等开源教育社区;Linus 'Just for Fun' 自传
cross_border,出海远航,hidden,great,tech>=60;mental>=50;cash>=500000;age>=30,burnout>=80;health<=30,"42 岁那年,你离开写了 20 年的代码,去了另一个半球读硕士。同学里有人比你小 20 岁,他们以为你是去'养老'的,你却把每一门课都拿了 A。毕业后你留在了当地,做城市规划咨询——你写的不是 Python,是政策建议;你开的不再是 code review,是社区会议。新同事问你:'你技术那么好,怎么不回去?'你笑着说:'我想用另一种方式修这个世界。'","换个地方,不是为了逃离,是为了换一种解题方式。",2024 年中国程序员转海外咨询/技术写作/留学再创业案例;Stack Overflow 调研显示 30% 海外华裔工程师有跨领域转型经验;LinkedIn 'Career Change' 数据
next_gen_cultivator,下一代引路人,hidden,great,tech>=70;reputation>=60;relationship>=70;mental>=55;age>=33,burnout>=80;health<=30,"你 38 岁那年离开了一线公司,去了一个你没想过会去的城市——一所普通大学的计算机系。你教的学生里,90% 进不了大厂,但 100% 找到了能养活自己的工作。十年后你回访,当年那个'连循环都写不对'的学生开了自己的小工作室;那个'只会模仿 ACM 题解'的学生成了某个二线公司的技术总监。你没让他们变成你,你让他们变成了他们自己——而这,才是教育真正该有的样子。","把代码的乐趣传下去,比多写一个库更有意义。",开源布道者:阮一峰、张善友;独立开发者教育者:王禹效(少数派 iOS 独立开发指南)、老麦(少数派创始人);培训机构讲师真实转岗路径;freeCodeCamp 创始人 Quincy Larson
cross_field,跨界共鸣,hidden,good,tech>=55;reputation>=50;mental>=55;cash>=300000;age>=30,burnout>=80;health<=30,"你 35 岁那年开了第二个'工作日'。白天你还在写代码,晚上你开始写小说——AI 帮你加速,但故事是你自己的人生。半年后你签了 16 本小说,你 80 后同事写的第一本被某个编剧看中,买了影视改编权。你没辞职,你也知道,全职写作可能养活不了你;但你也没停下,因为你意识到,代码教会你的不是某种语言,而是'用逻辑构建世界'的能力——这份能力,可以用来写代码,也可以用来写小说。","技术 + 另一条腿,等于更宽的路。",程序员作家:刘慈欣(《三体》)、何夕、王雨嘉;硬科幻作家白丁(IT 25 年转写《云球》130 万字);80 后女程序员兰猫(AI 辅助半年签约 16 本小说);网络作家爱潜水的乌贼(袁野);少数派白描 App 开发者
quiet_retirement,安静退休,normal,normal,cash>=1500000;health>=50;mental>=55;age>=55,burnout>=75;health<=30,55 岁，你办了提前退休手续。不是财务自由，只是公司给了 N+1，账户里的钱算过了，够你撑到 65 岁。退休第一天你在阳台坐了一个下午，看楼下的人来人往。三年后你在小区里开了个少儿编程兴趣班，免费的那种。你的同事们羡慕你，你也羡慕他们还年轻——但你更羡慕现在的自己。,退下来不叫输，叫换一条路。,日本 60 岁退休程序员转做技术教育的常见路径，参考「第二人生」研究
