city,city_tier,rent_shared,rent_single,food_month,transport_month,medical_month,social_life_month,base_living_cost_month,avg_commute_minutes,pressure_score,opportunity_score,notes,source_name,source_url,source_date,confidence
重庆,新一线,700-1200,1600-2300,1100-1600,120-250,300-500,700-1200,4000-5600,40,68,76,"人口超3000万超大都市,人均消费低于全国均值;餐饮消费增速5.2%全国领先;通勤40分钟(中规院);轨道覆盖比重27%超大城市前列;Numbeo 1BR市中心¥2940",贝壳重庆/中规院/Numbeo,"https://cq.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Chongqing",2024-2025,high
长沙,二线,800-1300,1800-2500,1000-1500,120-250,300-500,700-1300,4000-5500,36,58,68,"以低房价高幸福感闻名,娱乐产业发达;轨道覆盖通勤比重22%;单程通勤34分钟(中规院);2025.5租金环比下跌(贝壳);通勤空间半径30公里",贝壳长沙/中规院通勤报告,"https://cs.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,high
厦门,二线,1000-1600,2200-3200,1200-1800,150-300,300-500,800-1400,4600-6400,38,62,60,"海岛型旅游城市,生活成本二线最高;职住分离度2.6公里但同比+0.4公里全国增幅最大;轨道覆盖通勤比重仅14%;Numbeo 1BR市中心¥2338",贝壳厦门/中规院/Numbeo,"https://xm.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Xiamen",2024-2025,medium
青岛,二线,800-1500,2000-2800,1100-1600,150-300,300-500,700-1300,4300-6100,40,60,63,"北方经济强市,超长通勤人口比重超8%;单程通勤时耗40分钟(中规院);通勤空间半径25-27公里;Numbeo 1BR市中心¥2350",贝壳青岛/中规院/Numbeo,"https://qd.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Qingdao",2024-2025,medium
济南,二线,800-1300,1900-2400,1000-1500,120-250,300-500,600-1200,3900-5400,33,55,60,"山东省会,数字经济与制造业转型中;通勤时耗33分钟(中规院);通勤空间半径33公里;职住分离度3.9公里;超长通勤改善,极端通勤同比-1pp",贝壳济南/中规院通勤报告,"https://jn.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
郑州,二线,800-1300,1900-2500,1000-1500,120-250,300-500,600-1200,4000-5600,35,55,65,"中部交通枢纽,人口净流入明显;轨道覆盖通勤19%;轨道800米覆盖通勤比重连续两年未提升;通勤时耗35分钟(中规院);京广/陇海高铁枢纽",贝壳郑州/中规院通勤报告,"https://zz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
合肥,二线,900-1400,1800-2500,1100-1500,120-250,300-500,600-1200,3800-5200,34,55,70,"新一线排名从15跃至11位(2025);集成电路+新能源驱动;通勤空间半径26公里;职住分离度3.5公里;Numbeo 1BR市中心¥1640,合肥显著低于同类新一线",贝壳合肥/中规院/Numbeo,"https://hf.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Hefei",2024-2025,medium
福州,二线,900-1400,1900-2600,1100-1600,150-300,300-500,700-1200,4000-5400,34,55,58,"福建省会,数字经济(数字中国)峰会常驻;轨道覆盖通勤比重24%连续两年快速增长(超厦门10pp);通勤时耗34分钟(中规院);通勤空间半径26公里",贝壳福州/中规院通勤报告,"https://fz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
昆明,二线,800-1300,1800-2400,1000-1500,120-250,300-500,600-1200,3700-5100,32,48,55,"云南省会,旅游+气候优势;通勤时耗32分钟(中规院),位列45城最低梯队;通勤空间半径27公里;职住分离度2.7公里;二线中压力最低之一",贝壳昆明/中规院通勤报告,"https://km.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
东莞,二线,700-1100,1500-2200,1100-1500,120-250,300-500,600-1100,3500-4900,36,55,70,"新一线排名常驻,制造业名城(华为/OPPO/VIVO);超长通勤(>25km)占8%二线第一;通勤时耗36分钟(中规院);通勤空间半径23公里,临深优势明显",贝壳东莞/中规院通勤报告,"https://dg.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
