role,track,level,city_tier,company_type,min_salary_month,max_salary_month,typical_salary_month,bonus_months,promotion_months_min,promotion_months_max,required_skill_tags,risk_tags,notes,source_name,source_url,source_date,confidence
数据分析师,数据分析,中级(3-5年),一线,互联网大厂,20000,35000,25000,3,24,36,"SQL,Python,机器学习,业务分析,指标体系,数据可视化,BI工具",转型压力;业务理解要求;AI工具替代,中级数据分析师 20-35K·14-16薪；薪智3-5年 21-42万；帆软报告一线 20-30万；BOSS 20-40K·16薪；猎聘中位数 25K,BOSS直聘+猎聘+薪智,https://www.jobui.com/trends/beijing-shujufenxishi/,2026-06-28,high
数据工程师,数据工程,中级(3-5年),一线,互联网大厂,22000,38000,28000,3,18,30,"Hadoop/Spark/Flink,SQL,Python,Scala,数据建模,ETL,Kafka,Airflow",大数据基础设施转型;技术栈更新;需求稳定,中级数据工程师 22-38K·14-16薪；拉勾/智联报告大数据 1.8-3万；BOSS 25-50K·15薪；猎聘数据开发工程师,BOSS直聘+猎聘+稀土掘金,https://www.zhipin.com/c101010100/?query=%E6%95%B0%E6%8D%AE%E5%BC%80%E5%8F%91,2026-06-28,medium
数据工程师,数据工程,高级(5年+),一线,互联网大厂,38000,60000,45000,4,24,36,"大数据架构,实时计算,湖仓一体,数据治理,云原生,团队管理",平台方向转型;成本控制压力;高级岗位竞争,高级数据工程师 38-60K·15-16薪；猎聘数据架构师 30-50K；BOSS 30-60K；猎聘大数据开发专家,猎聘+BOSS直聘,https://www.liepin.com/job/1971788099.shtml,2026-06-28,medium
产品经理,产品管理,中级(3-5年),一线,互联网中厂,18000,32000,24000,3,18,30,"需求分析,Axure/Figma,数据驱动,跨部门协作,用户研究",35岁转型;业务理解要求;话语权压力,中级产品经理 18-32K·14-16薪；BOSS直聘北京 15-30K；脉脉AI产品经理 49785元；猎聘产品经理中位 25K,BOSS直聘+脉脉+猎聘,https://news.qq.com/rain/a/20250325A04X3I00,2026-06-28,high
产品经理,产品管理,AI产品经理(3-5年),一线,互联网大厂,30000,50000,40000,4,18,30,"AI应用理解,Prompt设计,RAG/Agent,大模型API,产品设计,业务落地",AI产品理解门槛;技术迭代;业务+AI双重要求,AI产品经理 30-50K·15-16薪；脉脉 49785元/月；AI产品经理溢价20%；BOSS猎聘 AI PM 25-50K；字节/百度 AI产品 30-50K,脉脉+BOSS直聘+猎聘,https://news.qq.com/rain/a/20250916A05HK500,2026-06-28,high
iOS开发工程师,移动开发,中级(3-5年),一线,互联网中厂,20000,35000,26000,3,24,36,"Swift/Objective-C,iOS SDK,SwiftUI,性能优化,网络编程,架构设计",iOS市场份额下降;35岁危机;跨平台冲击,iOS中级 20-35K·14-16薪；猎聘iOS前端 3-5年 27168元；职友集北京iOS资深 30-50K·15薪；BOSS 25-50K·15薪；腾讯50-80K·16薪,BOSS直聘+猎聘+职友集,https://www.liepin.com/job_detail/CCL1480117890J40710365805.htm,2026-06-28,high
iOS开发工程师,移动开发,高级(5年+),一线,互联网大厂,40000,70000,50000,4,24,36,"Swift源码,iOS架构,性能优化,跨端Flutter,音视频,团队管理",iOS需求萎缩;跨端Flutter分流;35岁危机,iOS高级 40-70K·15-16薪；猎聘iOS 5年以上 39957元；职友集北京 5-10年 30-50K；字节iOS 40-70K·15薪；腾讯iOS 50-80K·16薪,BOSS直聘+猎聘+职友集,https://www.liepin.com/job/1971788099.shtml,2026-06-28,high
Android开发工程师,移动开发,中级(3-5年),一线,互联网中厂,18000,32000,24000,3,24,36,"Kotlin/Java,Android SDK,Jetpack,性能优化,Flutter,跨平台",Android需求稳定但竞争激烈;跨端冲击;35岁压力,Android中级 18-32K·14-16薪；BOSS 20-40K·16薪；字节/Android 25-35K·16薪；小米/Vivo 20-40K；猎聘3-5年 24-27K,BOSS直聘+猎聘+CSDN,https://www.zhipin.com/c101010100/?query=Android,2026-06-28,high
Android开发工程师,移动开发,高级(5年+),一线,互联网大厂,35000,60000,45000,4,24,36,"Android Framework,系统级开发,性能调优,跨端架构,Flutter,团队管理",Framework方向稀缺;35岁危机;转型管理,Android高级 35-60K·15-16薪；字节Android 25-50K·16薪；小米/Android Framework 30-50K·15薪；BOSS 25-50K·15薪,BOSS直聘+猎聘+CSDN,https://www.zhipin.com/c101010100/?query=Android+Framework,2026-06-28,high
测试工程师,测试开发,初级(0-1年),一线,互联网中厂,8000,13000,10500,2,18,30,"测试基础,TestNG/JUnit,接口测试(Postman),功能测试,缺陷管理,SQL",功能测试内卷;自动化转型压力;工具替代,初级测试 8-13K·13-15薪；霍格沃兹 2026 应届8-12K；BOSS北京测试 12-20K；猎聘测试工程师平均 13.8K,BOSS直聘+拉勾+霍格沃兹,https://www.lagou.com/s/list_18d40642ed9462740dfd6b8b3c1c27c3038cec795d6917c5c4a9b30dc1fbc56a,2026-06-28,high
测试工程师,测试开发,中级(3-5年),一线,互联网中厂,15000,28000,20000,3,18,30,"自动化测试(Selenium/Appium),性能测试(JMeter),Python/Java,持续集成(Jenkins),接口测试",自动化转型压力;AI辅助测试冲击;35岁危机,中级测试 15-28K·14-16薪；拉勾2025报告 15-25K；BOSS北京自动化 15-25K·16薪；百融云创 15-25K·15薪；拉勾20-30K,BOSS直聘+拉勾+霍格沃兹,https://www.zhipin.com/job_detail/fe862adb825bb02e03R_29y1GVRS.html,2026-06-28,high
运维工程师,运维/DevOps,初级(0-1年),一线,互联网中厂,8000,13000,10500,2,18,30,"Linux基础,Shell/Python,网络基础,Docker,监控(Zabbix/Prometheus),日志分析",运维自动化转型;云原生冲击;7x24值守,初级运维 8-13K·13-15薪；CSDN 2024一线应届 99808元/年；猎聘北京 DevOps 1年以下 26265元；BOSS北京1-3年 10-16K,BOSS直聘+猎聘+CSDN,https://www.liepin.com/salary/beijing-devops/,2026-06-28,high
运维工程师,SRE/DevOps,中级(3-5年),一线,互联网大厂,20000,35000,26000,3,18,30,"Kubernetes,Docker,Istio,CI/CD(Jenkins/GitLab),Prometheus/Grafana,云平台(AWS/阿里云),Python/Go",7x24 oncall;云原生转型;35岁危机,中级DevOps 20-35K·14-16薪；猎聘北京 DevOps 3-5年 36631元；阿里DevOps 30-60K·14薪；百度SRE 20-40K·16薪；CSDN一线 25-40K,BOSS直聘+猎聘+CSDN,https://www.zhipin.com/c101010100/?query=DevOps,2026-06-28,high
AI工程师,大模型/AI应用,初级(0-1年),一线,互联网大厂/AI独角兽,20000,35000,28000,3,18,24,"Python,PyTorch,大模型API调用,Prompt Engineering,RAG/LangChain,LoRA微调",学历门槛高(985硕博);技术迭代极快;顶尖人才虹吸,初级大模型工程师 20-35K·14-16薪；脉脉应届硕博40-80万；科锐国际 30-60万；BOSS大模型外包 12-20K,BOSS直聘+脉脉+科锐,https://news.qq.com/rain/a/20250916A05HK500,2026-06-28,high
AI工程师,大模型算法,中级(3-5年),一线,互联网大厂/AI独角兽,45000,75000,60000,4,18,30,"大模型预训练,SFT/RLHF,分布式训练(DeepSpeed),多模态,Transformer,顶会论文",顶尖人才稀缺;论文压力大;年龄压力,中级大模型算法 45-75K·15-16薪；脉脉大模型算法 68051元/月；科锐国际 50-200万；BOSS智谱GLM 45-75K·16薪；上海招聘会大模型6万/月,脉脉+科锐+BOSS直聘,https://wallstreetcn.com/articles/20250214,2026-06-28,high
AI工程师,大模型应用/Prompt,初级(0-1年),新一线/一线,互联网中厂/AI创业,12000,22000,16000,2,12,18,"Prompt工程,大模型API调用,Python,RAG/LangChain,业务场景理解,Markdown",岗位定义模糊;LLM迭代吃掉经验;转型窗口期;初级外包化,Prompt工程师/AI应用初级 12-22K·13-15薪；BOSS智谱Prompt 18-35K·15薪；大厂外包Prompt 11-12K；慧博云通外包 11-12K；应用开发 1-3年 30-60万,BOSS直聘+猎聘+智谱,https://www.zhipin.com/c101010100/?query=Prompt%E5%B7%A5%E7%A8%8B%E5%B8%88,2026-06-28,medium
自由职业/独立开发者,独立开发,0-2年初级+3年+成功,一线/远程,自由职业,5000,80000,20000,0,0,0,"全栈技能,产品设计,营销/SEO,SaaS架构,海外推广,自驱力,商业模式",收入不稳定;无保障;商业化困难;天花板高但失败率高,独立开发者 5-80K/月；CSDN调研 35%入门层3-8K 30%稳定层8-15K 15%优秀层1.5-5万 5%顶级5万+；Marc Lou 103万美元；外包时薪100-1000元/天,CSDN+企鹅号+稀土掘金,https://blog.csdn.net/fansunion/article/details/148829546,2026-06-28,medium
技术经理/TL,技术管理,中级(5-8年),一线,互联网中厂,35000,55000,42000,4,30,48,"项目管理,跨部门协作,团队管理,技术规划,招聘面试,OKR/KPI",管理转型压力;团队冲突;考核压力,技术TL 35-55K·14-16薪；猎聘中位 35-50K；BOSS北京 TL 30-60K；智联技术经理 35-50K,BOSS直聘+猎聘+CSDN,https://www.liepin.com/job/1971788099.shtml,2026-06-28,medium
技术经理/TL,技术管理,高级(8年+),一线,互联网大厂,50000,90000,65000,5,36,60,"架构决策,团队建设,跨部门协调,招聘培养,项目管理,业务理解",战略压力;大厂35岁红线;OKR压力,高级TL 50-90K·15-16薪；猎聘TL 50-80K；BOSS北京 TL 50-80K·16薪；CSDN一线 50-90万；腾讯/字节 TL 60-100K,BOSS直聘+猎聘+CSDN,https://blog.csdn.net/luwei42768/article/details/145042602,2026-06-28,medium
架构师/技术总监,技术管理,高级(8年+),一线,互联网大厂,70000,150000,90000,5,48,72,"分布式架构,技术战略,团队管理,业务规划,跨BU协调,行业影响力",顶尖岗位稀缺;高管压力;股票波动,架构师 70-150K·15-18薪；CSDN阿里P8 170-240万；腾讯12级 220-300万；字节3-1 142-210万；架构师 35-55K/BOSS,CSDN+猎聘+BOSS直聘,https://blog.csdn.net/luwei42768/article/details/145042602,2026-06-28,high
安全工程师,信息安全,中级(3-5年),一线,互联网大厂,20000,35000,26000,3,24,36,"Web安全,渗透测试,等保测评,Python/Shell,Linux,SDL",合规要求高;攻防实战要求;持证需求,中级安全 20-35K·14-16薪；拉勾/智联安全 1.8-3万；猎聘安全 25-40K；北京央企 22000/月；工信部报告 21.28万年均,BOSS直聘+猎聘+拉勾,https://blog.csdn.net/luwei42768/article/details/145042602,2026-06-28,medium
安全工程师(渗透/攻防),信息安全,高级(5年+),一线,互联网大厂,40000,70000,50000,4,30,48,"高级渗透,红蓝对抗,漏洞挖掘,代码审计,逆向工程,团队管理",法律法规风险;甲方/乙方切换;技术对抗压力,高级安全 40-70K·15-16薪；CSDN 2025 高级岗位 30-90万；智联/拉勾安全专家 35-60K；360/奇安信 30-60K,BOSS直聘+猎聘+CSDN,https://www.zhipin.com/c101010100/?query=%E6%B8%97%E9%80%8F%E6%B5%8B%E8%AF%95,2026-06-28,medium
嵌入式工程师(车载/芯片),嵌入式开发,高级(5年+),一线,新能源车企/芯片厂,35000,60000,45000,4,24,36,"AUTOSAR,Linux内核,驱动开发,BSP,RTOS,车载电子,MCU,C/C++",车企内卷;汽车行业洗牌;出差;硬件绑定,车载嵌入式 35-60K·15-16薪；小鹏汽车AI渗透率19.32%；BOSS车载 25-50K·15薪；中科创达 18-35K·15薪；AUTOSAR方向溢价；中级嵌入式 18-30K (BOSSCSDN),BOSS直聘+脉脉+猎聘,https://www.zhipin.com/c101010100/?query=%E8%BD%A6%E8%BD%BD%E5%B5%8C%E5%85%A5%E5%BC%8F,2026-06-28,medium
游戏开发工程师(Unity/UE),游戏开发,中级(3-5年),一线,游戏大厂,18000,30000,24000,3,24,36,"Unity/Unreal,C#,C++,游戏开发,图形学,性能优化,SDK接入",游戏行业波动;加班严重;版号风险,中级游戏开发 18-30K·14-16薪；CSDN 2025 游戏开发 15-26万；BOSS 25-40K·14-15薪；米哈游 25-40K·14薪；途游 30-60K,BOSS直聘+CSDN+拉勾,https://blog.csdn.net/luwei42768/article/details/145042602,2026-06-28,medium
游戏客户端(渲染/图形),游戏开发,高级(5年+),一线,游戏大厂,35000,60000,45000,4,30,48,"Unity Shader,UE5渲染,图形学,Taichi/GPU,引擎源码,性能优化",游戏行业洗牌;加班严重;技能深度,高级游戏 35-60K·15-16薪；猎聘UE5 18-30K；BOSS 25-50K·15薪；游戏科学/米哈游核心 30-50K；CSDN 2025 高级18-30万,BOSS直聘+猎聘+CSDN,https://blog.csdn.net/luwei42768/article/details/145042602,2026-06-28,medium
前端工程师,frontend,初级,二线,中小厂,8000,15000,12000,2,24,36,react;vue;javascript;css;工程化,年龄压力;初级可替代性强,二线中小厂初级前端常见区间;黄牛班/培训机构入门占比高，跳槽后涨幅有限,前程无忧51job《2025人力资源白皮书》+职友集2024-2025统计,https://news.bjnews.com.cn/detail/173984840415912.html,2025-02-27,medium
前端工程师,frontend,中级,一线,大厂,20000,35000,28000,3,18,30,react;typescript;webpack;性能优化;node.js,35岁危机;加班强度大;业务技术分离,一线大厂中级前端(2-2级)主流区间，字节/美团/腾讯校招SSP月薪26-32K,前程无忧2026春季数据+大厂校招薪酬汇总,https://www.csdn.net/,2026-03-19,high
前端工程师,frontend,高级,一线,外企,35000,60000,45000,3,30,48,react;typescript;架构;团队管理;英语,裁员;外企晋升慢;年龄压力,一线外企(如微软/MSCI)高级前端，脉脉微软新发岗位均值月薪90K含大模型,猎聘北京外企工资水平2025+脉脉AI人才报告,https://www.ihr360.com/hrnews/202501256961.html,2025-01-25,medium
后端工程师,backend,初级,新一线,中小厂,9000,16000,13000,2,24,36,java;python;mysql;linux;git,初级可替代性强;业务理解浅,新一线(成都/武汉)中小厂Java初级常见区间，二线打7折,猎聘2025春招+前程无忧白皮书,https://www.liepin.com/,2025-02-13,medium
后端工程师,backend,中级,一线,大厂,25000,45000,35000,4,18,30,java;go;mysql;redis;k8s;分布式,加班强度大;OKR压力;末位淘汰,大厂中级后端(阿里P6/字节2-1)主流区间，年包40-60万,大厂职级对标+前程无忧2026节后招聘数据,https://www.sohu.com/a/969667514_121687086/,2025-03-12,high
后端工程师,backend,高级,一线,大厂,50000,80000,65000,4,30,48,java;go;分布式架构;性能调优;团队管理,股票依赖公司业绩;裁员风险,大厂高级后端(P7/2-2级)主流区间，年包80-120万是正常偏上,大厂职级对标+脉脉高聘2025春招,https://news.sina.com.cn/o/2025-12-18/doc-inhcetxm8363095.shtml,2025-12-18,high
算法工程师,algorithm,中级,一线,大厂,30000,50000,40000,4,24,36,python;pytorch;推荐系统;机器学习,业务效果压力;卷论文;35岁危机,北京3-5年算法工程师年固定薪酬中位28-43万区间；大厂上浮30-50%,猎聘2025新春开工报告+搜狐算法薪资分析,https://www.sohu.com/a/894724580_121925375/,2025-02-13,high
算法工程师,algorithm,高级,一线,大厂,60000,100000,80000,4,36,60,机器学习;深度学习;大模型;论文;推荐/搜索/广告,头部公司股票绑定;绩效严格;年龄压力,大厂资深算法(P8/3-1)主流区间；AI科学家可冲到127K月薪,脉脉2025年度人才迁徙报告+2025春招职场安全感洞察,https://stcn.com/article/detail/1377648.html,2025-12-12,high
数据分析师,data,中级,一线,大厂,18000,30000,25000,3,18,30,sql;python;tableau;业务分析;ab测试,业务边缘;晋升管理难;非核心岗,大厂中级数据分析师主流区间；上海Java中位21.2万对应数据岗偏中,前程无忧2026春季数据+好学通2025程序员工资分析,https://www.eduhxt.com/xuelijing/810375.html,2025-05-12,medium
数据工程师,data,中级,一线,大厂,25000,40000,32000,4,24,36,sql;python;spark;hadoop;数仓;flink,数仓技术迭代快;业务理解要求高,大厂中级数据/大数据工程师主流区间；阿里数据开发校招SSP总包52万+,大厂校招薪酬+2026节后招聘,https://www.csdn.net/,2026-03-19,high
产品经理,product,中级,一线,大厂,20000,35000,28000,3,24,36,需求分析;原型设计;用户研究;sql;axure,被AI替代风险;裁员;35岁危机,大厂中级产品经理主流区间；AI产品经理溢价20%月薪49.8K,脉脉2025春招+前程无忧2026春季数据,https://news.bjnews.com.cn/detail/173984840415912.html,2025-12-12,high
iOS工程师,mobile,中级,一线,大厂,25000,40000,32000,3,24,36,swift;objective-c;xcode;uiKit;性能优化,平台依赖;苹果生态收窄;需求回落,北京中高级iOS主流28K(职友集)；字节/小红书iOS资深月薪40-65K,职友集2025-2026统计+BOSS直聘一线城市招聘,https://www.zhipin.com/,2025-09-01,medium
Android工程师,mobile,中级,一线,大厂,22000,38000,30000,3,24,36,kotlin;java;android sdk;性能优化;flutter,需求稳定但增长放缓;跨端替代,中级Android主流区间；东方财富校招21-22K×15薪,大厂校招薪酬+知乎iOS/Android对比,https://www.zhihu.com/,2025-06-01,medium
测试工程师,qa,中级,一线,大厂,15000,28000,22000,3,18,30,自动化测试;python;selenium;接口测试;jmeter,门槛低可替代;外包化;业务理解浅,大厂中级测试开发主流区间；百度校招SSP总包42-45万,百度校招薪酬+猎聘运维/测试统计,https://m.liepin.com/,2025-09-01,medium
运维工程师,devops,中级,一线,大厂,20000,38000,30000,3,24,36,k8s;docker;prometheus;python;linux;ci/cd,7x24 oncall;运维事故责任重;自动化冲击,北京DevOps平均月薪29K(猎聘)；美团SRE高级20-40K×15,猎聘北京DevOps统计+BOSS直聘运维招聘,https://www.liepin.com/,2025-09-01,high
AI工程师,ai,中级,一线,大厂,40000,70000,55000,4,18,30,python;pytorch;transformer;llm;分布式训练,大模型技能迭代快;加班严重;论文压力,大模型算法平均月薪68K(脉脉)；3-5年总包60-120万,脉脉2025春招职场安全感洞察+科锐国际2025人才市场洞察,https://stcn.com/article/detail/1377648.html,2025-03-25,high
AI工程师,ai,资深,一线,大厂,80000,150000,110000,4,36,60,大模型训练;RLHF;分布式系统;团队管理;学术影响力,股票/期权绑定;Top公司稀缺;马太效应,大模型资深/AI科学家主流区间；AI科学家平均月薪127K,脉脉2025年度人才迁徙报告,https://new.qq.com/rain/a/20251212,2025-12-12,high
Prompt工程师,ai,中级,新一线,创业,15000,35000,25000,1,12,24,prompt工程;llm;python;业务理解;英文,岗位不稳定;定义不清;非核心,Prompt工程师年薪约90-120万人民币区间(海外为主)；国内创业公司1-3年常见15-30K×14薪,科锐国际2025人才市场洞察+BOSS直聘Prompt岗位,https://www.zhipin.com/,2025-02-19,medium
自由职业开发者,operations,资深,三线,自由职业,5000,50000,20000,0,0,0,全栈;独立产品能力;营销;运营;自我驱动,收入不稳定;无社保;持续学习压力,独立开发者月入分层：5%顶尖5万+；30%稳定8000-1.5万；35%入门3000-8000,猪八戒网2025兼职程序开发报告+CSDN独立开发者生存现状,https://fansunion.blog.csdn.net/article/details/148829546,2025-06-01,medium
技术总监,pm,资深,一线,大厂,70000,150000,100000,4,48,84,技术战略;团队管理;跨部门协作;商业敏感;架构,管理转型失败难回技术;岗位稀缺;年龄红线,大厂P8-P9/12级以上主流区间；CTO可到150万+,大厂职级对标+前程无忧2026春招,https://www.sohu.com/a/969667514_121687086/,2025-03-12,high
